outcome,variable,distribution,bic,param1_name,param1_value,param2_name,param2_value
0,lipids1,exponential,1894.7625929612532,rate,1.0445991998814637,,
0,lipids2,normal,2629.105553211924,mean,4.461408308004053,sd,0.9102309083059837
0,lipids2,lognormal,2539.4473790522925,meanlog,1.4754832828784505,sdlog,0.1988986679436111
0,lipids2,exponential,4932.941554182116,rate,0.22414446985404493,,
0,lipids3,normal,277.8223982920947,mean,1.1042451874366768,sd,0.2765999101563865
0,lipids3,lognormal,223.63444126796665,meanlog,0.06796746157380783,sdlog,0.2514272776913787
0,lipids3,exponential,2176.6404842265347,rate,0.9055959775757186,,
0,lipids4,normal,2549.083682352448,mean,2.9279533941236067,sd,0.8740699302775087
0,lipids4,lognormal,2458.5744908407332,meanlog,1.030704089747264,sdlog,0.297854657257944
0,lipids4,exponential,4101.570131723891,rate,0.34153549097024455,,
0,сarb_metabolism,normal,2389.432285514333,mean,4.895065856129686,sd,0.8061608460760483
0,сarb_metabolism,lognormal,2272.4839293911778,meanlog,1.575578271087108,sdlog,0.15719084772572825
0,сarb_metabolism,exponential,5116.056208362139,rate,0.2042873434987157,,
0,lipid_pero1,normal,2381.575825459795,mean,2.0682168186423504,sd,0.8029587267853688
0,lipid_pero1,lognormal,2313.0519075730635,meanlog,0.6487170842191867,sdlog,0.40539949919759366
0,lipid_pero1,exponential,3415.374404859783,rate,0.48350830096064823,,
0,lipid_pero2,normal,1703.226893181163,mean,1.3839007092198583,sd,0.5694446024752986
0,lipid_pero2,lognormal,1645.8818186258038,meanlog,0.2373305836426456,sdlog,0.4362784694191886
0,lipid_pero2,exponential,2622.2593365659645,rate,0.7225951929482908,,
0,lipid_pero3,normal,871.734190443108,mean,0.6816109422492401,sd,0.37369474103203365
0,lipid_pero3,lognormal,624.688151958503,meanlog,-0.5334121757171374,sdlog,0.5621121980196021
0,lipid_pero3,exponential,1224.2678728819888,rate,1.4671125975473802,,
0,lipid_pero4,normal,2379.811427157121,mean,1.4318844984802432,sd,0.8022413478343677
0,lipid_pero4,lognormal,1928.5948099052014,meanlog,0.23587135783745672,sdlog,0.5041925761300442
0,lipid_pero4,exponential,2689.5437090358446,rate,0.6983803519497336,,
0,lipid_pero5,normal,5347.086852623182,mean,11.879169199594733,sd,3.606844377214301
0,lipid_pero5,lognormal,5340.83563973289,meanlog,2.4264532482489916,sdlog,0.31765583364443106
0,lipid_pero5,exponential,6866.122981780858,rate,0.08418097117718601,,
0,antioxidant1,normal,-473.29407515278444,mean,1.6210942249240121,sd,0.18906054266125938
0,antioxidant1,lognormal,-433.74179871496756,meanlog,0.47606213196227193,sdlog,0.11982613025477376
0,antioxidant1,exponential,2934.536771885344,rate,0.6168672891588856,,
0,antioxidant2,normal,1306.227661507749,mean,2.3464640324214794,sd,0.4657026801458048
0,antioxidant2,lognormal,1263.791794642841,meanlog,0.8333858601835419,sdlog,0.1980786442966346
0,antioxidant2,exponential,3664.5380782188304,rate,0.4261731636124976,,
0,antioxidant3,normal,847.422971021453,mean,1.976301925025329,sd,0.3691206479074195
0,antioxidant3,lognormal,855.4238608892398,meanlog,0.6634371706048113,sdlog,0.1908980497872449
0,antioxidant3,exponential,3325.637525500732,rate,0.5059955603631685,,
0,antioxidant4,normal,5076.48747631279,mean,7.732228976697062,sd,3.1448038061185914
0,antioxidant4,exponential,6018.508693625912,rate,0.1293288135948562,,
0,antioxidant5,normal,375.3354692575927,mean,0.6803546099290781,sd,0.29060670192578003
0,antioxidant5,lognormal,72.30235450910516,meanlog,-0.46650473307863455,sdlog,0.3974079480874942
0,antioxidant5,exponential,1220.6260763630655,rate,1.4698217450224118,,
1,hormone1,normal,415.85733024816466,mean,1.658125,sd,0.8597580964288735
1,hormone1,lognormal,367.17626517008586,meanlog,0.38256801391604467,sdlog,0.5036868392067562
1,hormone1,exponential,486.8951565063913,rate,0.603090840557859,,
1,hormone2,normal,2255.750564329809,mean,411.95625,sd,270.03785259836724
1,hormone2,lognormal,2130.944016856427,meanlog,5.881462815190239,sdlog,0.5102159905362468
1,hormone2,exponential,2251.768663220243,rate,0.002427442234460577,,
1,hormone3,normal,1252.7382237690829,mean,9.910625,sd,11.753470747373942
1,hormone3,lognormal,1030.0561851157738,meanlog,1.8720294657428294,sdlog,0.9014395830734678
