outcome,variable,n_non_missing,n_missing,mean,sd,median,p25,p75,min,max,selected_distribution,selected_bic,param1_name,param1_value,param2_name,param2_value
1,hormone4,160,0,9.401250000000001,13.435599887597972,5.5,3.975,8.575,1.5,90.0,lognormal,965.4065134501475,meanlog,1.8420443217813502,sdlog,0.7589591401731791
1,hormone5,160,0,276.44851875,235.44463413794728,250.0,144.94925,339.71575,0.0,2264.758,exponential,2124.123050505734,rate,0.003617310031255141,,
1,hormone6,160,0,75.75437500000001,48.684122199377285,68.7,37.224999999999994,100.75,4.4,283.1,lognormal,1660.2737470482737,meanlog,4.119715831960176,sdlog,0.6824822620137495
1,hormone7,160,0,5.65,3.9696490030665394,5.1,2.4,7.6499999999999995,0.2,34.7,lognormal,865.1101100638664,meanlog,1.4768970030810127,sdlog,0.7992461734885865
1,hormone8,160,0,153.7625,70.96381020274043,142.5,99.75,197.0,20.7,384.0,lognormal,1811.2493243337597,meanlog,4.924435205361086,sdlog,0.48922173994456664
1,lipid_pero1,160,0,2.1810625000000003,0.8356187003779796,1.995,1.5475,2.745,0.6,4.4,lognormal,402.53198881309135,meanlog,0.7015792504861416,sdlog,0.40888343850185693
1,lipid_pero2,160,0,1.4482875,0.6162351036637084,1.255,1.02,1.83,0.22,3.26,lognormal,297.42005742168226,meanlog,0.2759317618965295,sdlog,0.45061027333765
1,lipid_pero3,160,0,0.75525,0.4212484439998883,0.64,0.43,1.03,0.09,1.75,lognormal,161.29420245875548,meanlog,-0.44784076736758127,sdlog,0.6072751962975201
1,lipid_pero4,160,0,1.49525,0.706444681521713,1.395,0.98,1.8050000000000002,0.26,3.66,lognormal,332.6603647622154,meanlog,0.2870534113198505,sdlog,0.4975057617777146
1,lipid_pero5,160,0,11.7644375,3.2826595573793647,11.96,9.71,13.9525,1.75,18.55,normal,843.5767992159613,mean,11.7644375,sd,3.2723851673655027
1,lipids1,160,0,0.9846250000000001,0.3704355544490836,0.98,0.6875,1.21,0.27,2.19,lognormal,143.9036845179662,meanlog,-0.0910949537008014,sdlog,0.40257880932262335
